FEATURE,IMPORTANCE_MEAN,IMPORTANCE_STD
ATR14_PERCENT,0.009529624436534833,0.0076148028708518944
VOLATILITY_20,0.007996639820058904,0.0064065898311631165
VOLATILITY_10,0.006487888642957207,0.0015609400047498128
ROLLING_BETA_20,0.005757867567847552,0.0022305443991783237
SMA50_DISTANCE,0.004648108041361165,0.0031209588369451873
TREND_20,0.004630662905964445,0.002701969820407193
MACD_HIST_PERCENT,0.004410009761648015,0.0017565375866090286
RELATIVE_RETURN_20,0.0038883186793021163,0.001722396241562873
NIFTY_VOLATILITY_20,0.003856096492987182,0.003638856652833949
RETURN_20,0.003852415725607816,0.0027159957311902677
NIFTY_RETURN_1,0.003596626821484583,0.0015136561470172145
EMA20_DISTANCE,0.00337999086115226,0.0017600706765318018
NIFTY_RETURN_20,0.0032668924078311902,0.0018039511178980787
VOLUME_ZSCORE_20,0.002516357909336897,0.0022928518134604117
RETURN_5,0.002355185308012253,0.0016351681825085473
RETURN_1,0.0018945259543900806,0.001218730636685458
ROLLING_CORRELATION_20,0.0016633342934679219,0.0019969158437080758
VOLATILITY_RATIO,0.0016398343019628282,0.002379749490618382
SMA20_DISTANCE,0.0005995158541213686,0.001383808936236598
NIFTY_SMA20_DISTANCE,0.00022040996555601212,0.0011491450366836547
RELATIVE_RETURN_1,0.00014602299839580057,0.0015468982408297545
RETURN_10,9.535905456634631e-05,0.002839424869830761
NIFTY_RETURN_5,-0.0003316796501038999,0.0018705119005114782
RELATIVE_RETURN_10,-0.0004104054452044981,0.0013634617447305605
RELATIVE_RETURN_5,-0.0007092194046138034,0.0022574615225463834
RETURN_3,-0.0013407213432056974,0.001344616928142207
RSI14_NORMALIZED,-0.0014662034899424192,0.0025510792656863565
VOLUME_CHANGE,-0.0015113672225386288,0.0022504980170963366
NIFTY_RETURN_10,-0.001657419492174006,0.0018757350177707817
